Day;HRT_UASB;HRT_hours;COD_in;TSS_in;VFA_Eff;ALK_Eff;COD_UASB_Eff;TSS_UASB_Eff;COD_Filt_Eff;TSS_Filt_Eff;COD_Final;So;Xa;Xs;Status;Steady_State;pH_Eff_RBC
1;2;10;7422.12;25380;1110.2;6000;6893.42;580;6825.590649;20;5604.704216;6825.590649;1.62;1800;ok;1;8.12
2;2;10;6926.46;16800;1822.4;6500;6629.06;480;6592.546778;20;5439.484863;6592.546778;2.91;900;ok;1;8.27
3;2;10;7851.69;15720;1711.3;8000;6695.15;580;6659.502907;10;2531.624256;6659.502907;2.27;4400;ok;0;8.42
4;2;10;7455.16;25140;3929.7;7500;5307.31;460;5305.572604;10;3952.510689;5305.572604;3.74;2310;ok;1;8.6
5;2;10;8909.09;18520;3114.7;4100;7983.86;760;7912.564822;20;4282.949394;7912.564822;3.56;1720;ok;1;9.1
6;2;20;6959.5;26120;2694.1;4500;6100.36;960;6065.581626;90;4249.905524;6065.581626;4.21;1940;ok;0;8.84
7;2;20;8116.04;21060;2607.8;4500;6992.55;560;6923.853872;20;4216.861653;6923.853872;4.86;7340;ok;0;7.81
8;2;20;7785.6;26760;2846.3;3750;7190.81;900;7106.486104;380;3721.203595;7106.486104;5.39;6080;ok;1;8.8
9;2;20;8182.13;27420;2729.1;4500;7256.9;1680;7276.915787;300;3622.071984;7276.915787;4.95;1360;bad;1;8.67
10;2;20;8116.04;26440;2473.3;3200;7455.16;720;7413.433211;640;2135.09781;7413.433211;6.3;4040;ok;1;8.57
11;4;30;9636.06;26040;1713.8;3250;9371.71;1140;9301.275773;40;5042.958417;9301.275773;4.86;5500;ok;0;9.89
12;4;30;7785.6;24540;880.5;3500;7157.77;720;6992.546778;540;780.2991182;6992.546778;6.36;5020;ok;1;9.48
13;4;30;8413.43;23560;2391.9;2750;7851.69;180;7752.5558;40;1837.702975;7752.5558;7.87;3300;ok;1;9.77
14;4;30;8149.08;23680;1229.9;4500;7884.73;260;7389.073224;180;1507.26427;7389.073224;10.46;11520;ok;1;9.8
15;4;30;8049.95;25160;1196.1;4500;7785.6;280;7422.117095;120;2366.404904;7422.117095;4.27;8940;ok;1;9.95
16;4;40;7223.85;19740;1851.8;4000;6926.46;1820;6529.932591;860;2432.492645;6529.932591;6.52;5340;ok;1;10.22
17;4;40;8396.07;12640;3534.1;4500;7389.07;400;7091.67839;40;2102.053939;7091.67839;6.2;9780;ok;0;9.92
18;4;40;8380.39;30260;680.7;4500;7322.99;480;7317.775153;180;3820.335207;7317.775153;7.03;4820;ok;0;9.63
19;4;40;7653.42;34460;544.5;4000;6496.89;460;6488.204836;140;3291.633279;6488.204836;8.77;8840;ok;1;10.36
20;4;40;7488.2;28660;890.3;3900;7256.9;260;7253.424189;100;2002.922328;7253.424189;10.52;10280;ok;1;10.73
21;6;50;7322.99;21420;2702.4;3500;6926.46;360;6989.073224;140;1705.527493;6989.073224;9.92;7280;bad;1;11.09
22;6;50;6959.5;29340;1647.4;4500;6860.37;500;6887.336448;280;3688.159725;6887.336448;9.24;4700;bad;0;10.85
23;6;50;7950.82;30720;95.4;3000;7223.85;120;7288.204836;60;2333.361033;7288.204836;11.06;5120;bad;1;10.4
24;6;50;8049.95;50200;92.7;3500;7322.99;260;7388.204836;200;4084.686171;7388.204836;11.46;8780;bad;0;9.27
25;6;50;8082.99;29620;249.7;4000;7818.64;180;7587.336448;80;2928.150703;7587.336448;11.69;11300;ok;1;9.01
26;6;60;7653.42;33060;276.2;3500;7587.34;300;7389.073224;160;3820.335207;7389.073224;17.65;7660;ok;1;10.05
27;6;60;7950.82;34880;647.6;4500;7554.29;220;7190.810001;120;3489.896502;7190.810001;12.69;13020;ok;1;9.8
28;6;60;7124.72;42100;2234.4;4500;6232.54;920;6298.625497;240;2201.185551;6298.625497;12.24;14780;bad;1;10.05
29;6;60;7620.38;29920;756.7;4500;7587.34;600;7587.336448;100;1176.825565;7587.336448;10.57;11700;ok;1;10.27
30;6;60;7785.6;31120;672.5;3500;7653.42;420;7585.599671;100;1474.220399;7585.599671;23.12;8560;ok;1;10.27
